0.01, 3, 8388608, 4, 1468, 312.6445173, 219, 34.7631830578512, 24, 96, 60, 88320, 1527, 6188, 5935, 8733901
0.01, 3, 8388608, 4, 2048, 181.8979857, 128, 35.6917174999999, 11, 44, 39, 80028, 1094, 4456, 4226, 8667717
0.01, 3, 8388608, 4, 2048, 172.8483324, 117, 35.5517700673725, 7, 28, 39, 80028, 1087, 4428, 4215, 8645145
0.01, 3, 8388608, 4, 4096, 125.6662838, 81, 44.1782725527831, 6, 24, 27, 110700, 565, 2340, 2131, 8728969
0.01, 3, 8388608, 4, 4096, 101.4822606, 64, 32.7540738461539, 5, 20, 21, 86100, 546, 2264, 2114, 8659269
0.01, 3, 8388608, 8, 512, 371.496104, 890, 32.6908037089202, 29, 116, 176, 90816, 2624, 10575, 17276, 8913452
0.01, 3, 8388608, 8, 512, 371.1053312, 776, 32.7098177525969, 21, 84, 160, 82560, 2558, 10311, 17162, 8854628
0.01, 3, 8388608, 8, 1024, 260.5775074, 427, 41.1863142175573, 10, 40, 80, 82240, 1293, 5252, 8621, 8860401
0.01, 3, 8388608, 8, 1024, 146.6454129, 349, 35.5856136663526, 6, 24, 84, 86352, 1275, 5180, 8543, 8780217
0.01, 3, 8388608, 8, 1468, 102.6432536, 208, 37.0036923497268, 8, 32, 40, 58880, 851, 3484, 5924, 8717709
0.01, 3, 8388608, 8, 1468, 166.0898371, 340, 36.5053606469003, 2, 8, 72, 105984, 942, 3848, 6056, 8912013
0.01, 3, 8388608, 8, 2048, 123.097187, 251, 32.7137280075188, 5, 20, 52, 106704, 695, 2860, 4349, 8920113
0.01, 3, 8388608, 8, 2048, 99.0942909, 241, 32.8148660447761, 8, 32, 50, 100552, 684, 2816, 4339, 8899593
0.01, 3, 8388608, 8, 4096, 35.9766311, 84, 32.9127154716981, 3, 12, 18, 73800, 321, 1364, 2134, 8741269
0.01, 3, 8388608, 8, 4096, 33.1227659, 113, 32.9459955390335, 3, 12, 26, 106600, 340, 1440, 2163, 8860169
0.01, 3, 8388608, 16, 512, 187.4399205, 1473, 32.7415534059945, 15, 60, 171, 88236, 2256, 9104, 17859, 9214281
0.01, 3, 8388608, 16, 512, 217.2060746, 1518, 32.5678726775956, 19, 76, 174, 89784, 2135, 8620, 17904, 9237501
0.01, 3, 8388608, 16, 1024, 126.8061176, 831, 32.6743393115942, 13, 52, 95, 97660, 1122, 4569, 9025, 9275714
